DEPT OF HEALTH/MENTAL HYGIENE,External,"Special Projects Coordinator, Bureau of Maternal Infant and Reproductive Health/ MIRH Newborn Home Visiting",COMMUNITY COORDINATOR,00,Above 50K,MIRH Newborn Home Visiting
DEPARTMENT OF BUSINESS SERV.,External,STAFF AUDITOR,BUSINESS PROMOTION COORDINATOR,01,Below 50K,Budget
DEPARTMENT OF TRANSPORTATION,External,Waterfront Facilities Engineer,ADMINISTRATIVE PROJECT MANAGER,00,Below 50K,Ferry Engineering
DEPARTMENT OF TRANSPORTATION,Internal,Waterfront Facilities Engineer,ADMINISTRATIVE PROJECT MANAGER,00,Below 50K,Ferry Engineering
TAXI & LIMOUSINE COMMISSION,Internal,Education Analyst,STAFF ANALYST,01,Below 50K,Office Of Policy And Program
TAXI & LIMOUSINE COMMISSION,Internal,Education Analyst,STAFF ANALYST,01,Below 50K,Office Of Policy And Program
DEPT OF HEALTH/MENTAL HYGIENE,External,"NFP Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health/MIRH Nurse Family Partnership",FAMILY PUB HEALTH NURSE (HMH),00,Above 50K,MIRH Nurse Family Partnership
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"NFP Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health/MIRH Nurse Family Partnership",FAMILY PUB HEALTH NURSE (HMH),00,Above 50K,MIRH Nurse Family Partnership
DEPARTMENT OF BUSINESS SERV.,Internal,"PROGRAM MANAGER, BUSINESS PROCESS AND REFORM",BUSINESS PROMOTION COORDINATOR,01,Below 50K,SB1 Regulatory Reform
DEPT OF ENVIRONMENT PROTECTION,External,Senior IT Support Technician,COMPUTER ASSOC (TECH SUPP),02,Above 50K,WSO-Executive/Tech Mgmt Office
DEPARTMENT OF BUSINESS SERV.,External,"PROGRAM MANAGER, BUSINESS PROCESS AND REFORM",BUSINESS PROMOTION COORDINATOR,01,Below 50K,SB1 Regulatory Reform
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"NFP Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",FAMILY PUB HEALTH NURSE (HMH),00,Above 50K,MIRH Nurse Family Partnership
DEPT OF HEALTH/MENTAL HYGIENE,External,"NFP Nurse Home Visitor, Bureau of Maternal Infant and Reproductive Health",FAMILY PUB HEALTH NURSE (HMH),00,Above 50K,MIRH Nurse Family Partnership
DEPT OF ENVIRONMENT PROTECTION,External,Section Chief â€“ Working Lands,ASSOCIATE PROJECT MANAGER,03,Above 50K,Watshed Plan Protec/Ashokan
DEPT OF ENVIRONMENT PROTECTION,Internal,Senior IT Support Technician,COMPUTER ASSOC (TECH SUPP),02,Above 50K,WSO-Executive/Tech Mgmt Office
DEPT OF ENVIRONMENT PROTECTION,Internal,Section Chief â€“ Working Lands,ASSOCIATE PROJECT MANAGER,03,Above 50K,Watshed Plan Protec/Ashokan
DEPT OF ENVIRONMENT PROTECTION,Internal,Associate Chemist,ASSOCIATE CHEMIST,02,Above 50K,DWOC Labs-Lefrak
DEPT OF INFO TECH & TELECOMM,External,NYC Media Executive Director of Administration,ADMINISTRATIVE BUSINESS PROMOT,M2,Above 50K,MOME
DEPT OF INFO TECH & TELECOMM,Internal,"Associate Commissioner, IT Operations",COMPUTER SYSTEMS MANAGER,M5,Above 50K,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,External,"Associate Commissioner, IT Operations",COMPUTER SYSTEMS MANAGER,M5,Above 50K,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Internal,NYC Media Executive Director of Administration,ADMINISTRATIVE BUSINESS PROMOT,M2,Above 50K,MOME
DEPT OF CITYWIDE ADMIN SVCS,External,Project and Policy Analyst,BUSINESS PROMOTION COORDINATOR,01,Below 50K,Asset Mgmt/Acquisition&Leasing
DEPT OF CITYWIDE ADMIN SVCS,Internal,Project and Policy Analyst,BUSINESS PROMOTION COORDINATOR,01,Below 50K,Asset Mgmt/Acquisition&Leasing
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Outreach Coordinator , Bureau of Maternal Infant and Reproductive Health/MIRH Nurse Family Partnership",PUBLIC HEALTH ADVISER,02,Below 50K,MIRH Nurse Family Partnership
ADMIN FOR CHILDREN'S SVCS,Internal,Director of Child Protective Audits,DIRECTOR OF FIELD OPERATIONS (,M2,Above 50K,Quality Improvement (Qa)
ADMIN FOR CHILDREN'S SVCS,Internal,Executive Director of Accountability and Audit Unit,DIRECTOR OF FIELD OPERATIONS (,M3,Above 50K,Quality Improvement (Qa)
ADMIN FOR CHILDREN'S SVCS,Internal,Supervisor/Auditors of Accountability and Audit Unit,DIRECTOR OF FIELD OPERATIONS (,M1,Above 50K,Quality Improvement (Qa)
DEPT OF HEALTH/MENTAL HYGIENE,External,"Outreach Coordinator , Bureau of Maternal Infant and Reproductive Health/MIRH Nurse Family Partnership",PUBLIC HEALTH ADVISER,02,Below 50K,MIRH Nurse Family Partnership
DEPT OF HEALTH/MENTAL HYGIENE,Internal,X-Ray Technician,X-RAY TECHNICIAN,01,Below 50K,OCME-Pathology
DEPARTMENT FOR THE AGING,Internal,Agency Chief Contracting Officer,AGENCY CHIEF CONTRACTING OFFIC,M3,Above 50K,ACCO
DEPARTMENT FOR THE AGING,External,Agency Chief Contracting Officer,AGENCY CHIEF CONTRACTING OFFIC,M3,Above 50K,ACCO
DEPT OF HEALTH/MENTAL HYGIENE,External,"Senior Data Analyst, Bureau of Mental Health",CITY RESEARCH SCIENTIST,03,Above 50K,Mental Health
DEPT OF INFO TECH & TELECOMM,External,Tech Arch Support - College Intern,COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Internal,Tech Arch Support - College Intern,COLLEGE AIDE (ALL CITY DEPTS),01,Below 50K,IT Svcs Delivery
DEPT OF HEALTH/MENTAL HYGIENE,External,"Senior Adviser for Policy, Strategy, and Development Health Equity Unit, Prevention and Primary Care/Health Access Equity",CITY RESEARCH SCIENTIST,4B,Above 50K,Health Access Equity
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Senior Data Analyst, Bureau of Mental Health",CITY RESEARCH SCIENTIST,03,Above 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Deputy Director, Mental Health Service Corps,  Bureau of Mental Health",ADMINISTRATIVE DIRECTOR OF SOC,M1,Above 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,External,".NET Developer, Bureau of Environmental Surveillance and Policy",COMPUTER PROGRAMMER ANALYST,02,Above 50K,Environ Surveillance & Policy
DEPT OF HEALTH/MENTAL HYGIENE,External,"Deputy Director, Mental Health Service Corps,  Bureau of Mental Health",ADMINISTRATIVE DIRECTOR OF SOC,M1,Above 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,External,"Program Specialist, Treatment Services, Bureau of Mental Health",SPECIAL CONSULTANT (MENTAL HEA,02,Above 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Program Specialist, Treatment Services, Bureau of Mental Health",SPECIAL CONSULTANT (MENTAL HEA,02,Above 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Senior Adviser for Policy, Strategy, and Development Health Equity Unit, Prevention and Primary Care/Health Access Equity",CITY RESEARCH SCIENTIST,4B,Above 50K,Health Access Equity
DEPT OF INFO TECH & TELECOMM,External,Optical Network Specialist,COMPUTER SPECIALIST (OPERATION,00,Above 50K,IT Svcs Delivery
DEPT OF INFO TECH & TELECOMM,Internal,Optical Network Specialist,COMPUTER SPECIALIST (OPERATION,00,Above 50K,IT Svcs Delivery
DEPT OF HEALTH/MENTAL HYGIENE,External,X-Ray Technician,X-RAY TECHNICIAN,01,Below 50K,OCME-Pathology
DEPARTMENT OF BUILDINGS,External,Plan Examiner,CIVIL ENGINEER,01,Above 50K,Citywide
DEPARTMENT OF BUILDINGS,Internal,Plan Examiner,CIVIL ENGINEER,01,Above 50K,Citywide
HUMAN RIGHTS COMMISSION,External,TEMPORARY AGENCY ATTORNEY,AGENCY ATTORNEY,01,Below 50K,Default
HUMAN RIGHTS COMMISSION,Internal,TEMPORARY AGENCY ATTORNEY,AGENCY ATTORNEY,01,Below 50K,Default
DEPARTMENT OF BUILDINGS,Internal,Plan Examiner,ARCHITECT,01,Above 50K,Citywide
DEPT OF HEALTH/MENTAL HYGIENE,Internal,".NET Developer, Bureau of Environmental Surveillance and Policy",COMPUTER PROGRAMMER ANALYST,02,Above 50K,Environ Surveillance & Policy
DEPARTMENT OF BUILDINGS,External,Plan Examiner,ARCHITECT,01,Above 50K,Citywide
DEPARTMENT OF TRANSPORTATION,Internal,Civil Engineer 3,CIVIL ENGINEER,03,Above 50K,Bridges Roadways
DEPARTMENT OF TRANSPORTATION,External,Civil Engineer 3,CIVIL ENGINEER,03,Above 50K,Bridges Roadways
MUNICIPAL WATER FIN AUTHORITY,Internal,DEPUTY TREASURER / TREASURER,BUDGET ANALYST (OMB)-MANAGERIA,M1,Above 50K,Municipal Water Authority
DEPARTMENT OF INVESTIGATION,External,Facilities Assistant,COMMUNITY ASSOCIATE,00,Below 50K,Office Services
DEPARTMENT OF INVESTIGATION,Internal,Facilities Assistant,COMMUNITY ASSOCIATE,00,Below 50K,Office Services
DEPT OF HEALTH/MENTAL HYGIENE,External,"IT Project Manager, Bureau of IT Strategy and Project Management",COMPUTER SYSTEMS MANAGER,M1,Above 50K,IT Strategy Project Management
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"IT Project Manager, Bureau of IT Strategy and Project Management",COMPUTER SYSTEMS MANAGER,M1,Above 50K,IT Strategy Project Management
MUNICIPAL WATER FIN AUTHORITY,External,DEPUTY TREASURER / TREASURER,BUDGET ANALYST (OMB)-MANAGERIA,M1,Above 50K,Municipal Water Authority
HOUSING PRESERVATION & DVLPMNT,Internal,Senior Quality Assurance Specialist,COMPUTER ASSOC (OPERATIONS),03,Above 50K,Technology & Strategic Develop
HOUSING PRESERVATION & DVLPMNT,External,Senior Quality Assurance Specialist,COMPUTER ASSOC (OPERATIONS),03,Above 50K,Technology & Strategic Develop
CONSUMER AFFAIRS,External,"Director, IT Strategy & Project Management",COMPUTER SYSTEMS MANAGER,M4,Above 50K,Tech & Strategic Solutions
CONSUMER AFFAIRS,Internal,"Director, IT Strategy & Project Management",COMPUTER SYSTEMS MANAGER,M4,Above 50K,Tech & Strategic Solutions
CONSUMER AFFAIRS,Internal,"Executive Director, Network Operations & Support",COMPUTER SYSTEMS MANAGER,M4,Above 50K,Tech & Strategic Solutions
DEPARTMENT OF INVESTIGATION,External,Special Investigator,SPECIAL INVESTIGATOR,00,Below 50K,Default
DEPARTMENT OF INVESTIGATION,Internal,Special Investigator,SPECIAL INVESTIGATOR,00,Below 50K,Default
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Division Counsel, Environmental Health, Bureau of Regulatory and External Affairs",AGENCY ATTORNEY,01,Above 50K,Regulatory And External Affair
CONSUMER AFFAIRS,External,"Executive Director, Network Operations & Support",COMPUTER SYSTEMS MANAGER,M4,Above 50K,Tech & Strategic Solutions
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Clinical Program Administrative Associate, Bureau of Maternal Infant and Reproductive Health/MIRH Nurse Family Partnership",PRINCIPAL ADMINISTRATIVE ASSOC,03,Above 50K,MIRH Nurse Family Partnership
DEPT OF HEALTH/MENTAL HYGIENE,External,"Clinical Program Administrative Associate, Bureau of Maternal Infant and Reproductive Health/MIRH Nurse Family Partnership",PRINCIPAL ADMINISTRATIVE ASSOC,03,Above 50K,MIRH Nurse Family Partnership
DEPT OF HEALTH/MENTAL HYGIENE,External,"Division Counsel, Environmental Health, Bureau of Regulatory and External Affairs",AGENCY ATTORNEY,01,Above 50K,Regulatory And External Affair
CONSUMER AFFAIRS,External,Staff Counsel,AGENCY ATTORNEY,02,Above 50K,General Counselâ€™s Office
CONSUMER AFFAIRS,Internal,Staff Counsel,AGENCY ATTORNEY,02,Above 50K,General Counselâ€™s Office
CONSUMER AFFAIRS,External,Inspector,INSPECTOR (CONSUMER AFFAIRS),01,Below 50K,Manhattan/SI Enforcement
DEPT OF HEALTH/MENTAL HYGIENE,External,"Supervising Public Health Adviser, Bureau of Maternal Infant and Reproductive Health/MIRH Newborn Home Visiting",SUPERVISING PUBLIC HEALTH ADVI,00,Below 50K,MIRH Newborn Home Visiting
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Supervising Public Health Adviser, Bureau of Maternal Infant and Reproductive Health/MIRH Newborn Home Visiting",SUPERVISING PUBLIC HEALTH ADVI,00,Below 50K,MIRH Newborn Home Visiting
DEPARTMENT OF SANITATION,Internal,Community Coordinator,COMMUNITY COORDINATOR,00,Above 50K,BK. L.C. CD -Funded
DEPARTMENT OF BUSINESS SERV.,Internal,DEPUTY DIRECTOR,ADMIN CONTRACT SPECIALIST (PYR,M1,Above 50K,Defo Certification
HOUSING PRESERVATION & DVLPMNT,Internal,Operating System Engineer,COMPUTER ASSOC (OPERATIONS),03,Above 50K,Technology & Strategic Develop
DEPARTMENT OF BUSINESS SERV.,External,DEPUTY DIRECTOR,ADMIN CONTRACT SPECIALIST (PYR,M1,Above 50K,Defo Certification
DEPT OF HEALTH/MENTAL HYGIENE,External,"Budget Analyst, Bureau of Facilities Planning and Administrative Services---Finance Unit",ADMINISTRATIVE PROCUREMENT ANA,00,Below 50K,Health Support Services
CONSUMER AFFAIRS,Internal,Sr. SQL Developer/Data Warehouse Expert,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Tech & Strategic Solutions
CONSUMER AFFAIRS,Internal,Sr. .NET/CRM Application Developer,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Tech & Strategic Solutions
HRA/DEPT OF SOCIAL SERVICES,Internal,Administrative Associate to the Director,PRINCIPAL ADMINISTRATIVE ASSOC,02,Below 50K,FIA Operations-NM
FINANCIAL INFO SVCS AGENCY,External,QTP Automation Script Developer,IT AUTOMATION AND MONITORING E,00,Above 50K,"Pyrl/HR, Test"
CONSUMER AFFAIRS,External,Sr. .NET/CRM Application Developer,COMPUTER SYSTEMS MANAGER,M1,Above 50K,Tech & Strategic Solutions
DEPT OF DESIGN & CONSTRUCTION,Internal,Auditor,ACCOUNTANT,01,Below 50K,Prog Mgmt/Eao-Executive
DEPT OF DESIGN & CONSTRUCTION,External,Auditor,ACCOUNTANT,01,Below 50K,Prog Mgmt/Eao-Executive
DEPT OF DESIGN & CONSTRUCTION,External,Auditor,ACCOUNTANT,02,Above 50K,Prog Mgmt/Eao-Executive
DEPT. OF HOMELESS SERVICES,External,Field Specialist,FRAUD INVESTIGATOR,01,Below 50K,Adult Family Intake Center
HUMAN RIGHTS COMMISSION,Internal,HUMAN RIGHTS SPECIALIST (Queens),HUMAN RIGHTS SPECIALIST (COMM,00,Below 50K,Comm.Rel.Bureau-Central
HUMAN RIGHTS COMMISSION,External,HUMAN RIGHTS SPECIALIST (Queens),HUMAN RIGHTS SPECIALIST (COMM,00,Below 50K,Comm.Rel.Bureau-Central
DEPT OF ENVIRONMENT PROTECTION,External,Forestry Program Manager,ASSOCIATE PROJECT MANAGER,03,Above 50K,IBM Complex
DEPT OF ENVIRONMENT PROTECTION,Internal,Forestry Program Manager,ASSOCIATE PROJECT MANAGER,03,Above 50K,IBM Complex
HOUSING PRESERVATION & DVLPMNT,Internal,Inspector of Construction Projects,CONSTRUCTION PROJECT MANAGER,01,Above 50K,Building & Tech. Assessment
DEPT OF ENVIRONMENT PROTECTION,Internal,Quality Assurance (QA) Officer,ASSOCIATE CHEMIST,03,Above 50K,DWOC Labs-Lefrak
DEPT OF DESIGN & CONSTRUCTION,Internal,Auditor,ACCOUNTANT,02,Above 50K,Prog Mgmt/Eao-Executive
HOUSING PRESERVATION & DVLPMNT,Internal,Eligibility Coordinator,COMMUNITY ASSOCIATE,00,Below 50K,Special Needs Housing
HOUSING PRESERVATION & DVLPMNT,External,Eligibility Coordinator,COMMUNITY ASSOCIATE,00,Below 50K,Special Needs Housing
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Laboratory Microbiologist, Bureau of Sexually Transmitted Disease Prevention and Control/STD Laboratory Services",LABORATORY MICROBIOLOGIST,02,Below 50K,STD Laboratory Services
DEPT. OF HOMELESS SERVICES,External,Social Worker,SOCIAL WORKER,00,Below 50K,Deputy Comm for Family Program
DEPT. OF HOMELESS SERVICES,Internal,Social Worker,SOCIAL WORKER,00,Below 50K,Deputy Comm for Family Program
POLICE DEPARTMENT,Internal,"SCHOOL CROSSING GUARD, LEVEL II",SCHOOL CROSSING GUARD (AL II â,02,Below 50K,Not Used
DEPT OF DESIGN & CONSTRUCTION,Internal,Specification Writer,ADMINISTRATIVE PROJECT MANAGER,00,Below 50K,Pub Bldgs/A&E-Arch
DEPARTMENT OF TRANSPORTATION,External,Chief of Staff,COMMUNITY COORDINATOR,00,Above 50K,Customer Service
DEPT OF DESIGN & CONSTRUCTION,External,Specification Writer,ADMINISTRATIVE PROJECT MANAGER,00,Below 50K,Pub Bldgs/A&E-Arch
DEPT OF HEALTH/MENTAL HYGIENE,External,"Laboratory Microbiologist, Bureau of Sexually Transmitted Disease Prevention and Control/STD Laboratory Services",LABORATORY MICROBIOLOGIST,02,Below 50K,STD Laboratory Services
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Telecom Associate, Bureau of Network Technology Services",COMPUTER ASSOC (TECH SUPP),01,Below 50K,Network Technology Services
DEPT OF HEALTH/MENTAL HYGIENE,External,"Telecom Associate, Bureau of Network Technology Services",COMPUTER ASSOC (TECH SUPP),01,Below 50K,Network Technology Services
DEPARTMENT OF TRANSPORTATION,Internal,ARTS System Support/Training/IT Liaison,COMMUNITY COORDINATOR,00,Above 50K,Customer Service
DEPT OF INFO TECH & TELECOMM,Internal,"Director, Agency Relations",COMPUTER SYSTEMS MANAGER,M1,Above 50K,Governance
DEPT OF INFO TECH & TELECOMM,External,"Director, Agency Relations",COMPUTER SYSTEMS MANAGER,M1,Above 50K,Governance
DEPT OF INFO TECH & TELECOMM,Internal,"Assistant Commissioner, Service Operations",COMPUTER SYSTEMS MANAGER,M4,Above 50K,Governance
DEPARTMENT OF TRANSPORTATION,External,ARTS System Support/Training/IT Liaison,COMMUNITY COORDINATOR,00,Above 50K,Customer Service
DEPARTMENT OF TRANSPORTATION,Internal,Chief of Staff,COMMUNITY COORDINATOR,00,Above 50K,Customer Service
DEPARTMENT OF TRANSPORTATION,Internal,Webform Team Coordinator/Manager,COMMUNITY COORDINATOR,00,Above 50K,Customer Service
DEPT OF INFO TECH & TELECOMM,External,"Assistant Commissioner, Service Operations",COMPUTER SYSTEMS MANAGER,M4,Above 50K,Governance
DEPT OF ENVIRONMENT PROTECTION,Internal,MECHANICAL ENGINEERING INTERN,MECHANICAL ENGINEERING INTERN,00,Above 50K,Sys Operations-Bx Mgmt Eng
DEPT OF ENVIRONMENT PROTECTION,External,MECHANICAL ENGINEERING INTERN,MECHANICAL ENGINEERING INTERN,00,Above 50K,Sys Operations-Bx Mgmt Eng
DEPARTMENT OF PROBATION,Internal,AGENCY ATTORNEY,AGENCY ATTORNEY,01,Above 50K,Admin Executive Offices
DEPARTMENT OF PROBATION,External,AGENCY ATTORNEY,AGENCY ATTORNEY,01,Above 50K,Admin Executive Offices
DEPARTMENT OF TRANSPORTATION,External,Webform Team Coordinator/Manager,COMMUNITY COORDINATOR,00,Above 50K,Customer Service
DEPT OF HEALTH/MENTAL HYGIENE,External,"Customer Service Representative, Bureau of Vital Statistics",COMMUNITY ASSISTANT,00,Below 50K,Vital Statistics/Vital Recor
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Customer Service Representative, Bureau of Vital Statistics",COMMUNITY ASSISTANT,00,Below 50K,Vital Statistics/Vital Recor
HOUSING PRESERVATION & DVLPMNT,External,Operating System Engineer,COMPUTER ASSOC (OPERATIONS),03,Above 50K,Technology & Strategic Develop
DEPT OF HEALTH/MENTAL HYGIENE,External,"Public Health Inspector, Bureau of Childcare",PUBLIC HEALTH SANITARIAN,02,Below 50K,Child Care
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Public Health Inspector, Bureau of Childcare",PUBLIC HEALTH SANITARIAN,02,Below 50K,Child Care
DEPT OF DESIGN & CONSTRUCTION,Internal,Specification Writer,ADMIN ARCHITECT (NON MGRL) M-1,00,Below 50K,Pub Bldgs/A&E-Arch
DEPT OF DESIGN & CONSTRUCTION,External,Specification Writer,ADMIN ARCHITECT (NON MGRL) M-1,00,Below 50K,Pub Bldgs/A&E-Arch
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Policy Analyst, Bureau of Systems Strengthening and Access/Policy and Planning",AGENCY ATTORNEY,01,Above 50K,Systems Strengthening Access
DEPT OF HEALTH/MENTAL HYGIENE,External,"Policy Analyst, Bureau of Systems Strengthening and Access/Policy and Planning",AGENCY ATTORNEY,01,Above 50K,Systems Strengthening Access
DEPARTMENT OF BUSINESS SERV.,External,INVENTORY COORDINATOR,COMMUNITY ASSISTANT,00,Below 50K,Waterfront Permits
DEPARTMENT OF BUSINESS SERV.,Internal,INVENTORY COORDINATOR,COMMUNITY ASSISTANT,00,Below 50K,Waterfront Permits
ADMIN TRIALS AND HEARINGS,Internal,Information Representative,COMMUNITY SERVICE AIDE,00,Below 50K,ECB - Manhattan Office
ADMIN TRIALS AND HEARINGS,External,Information Representative,COMMUNITY SERVICE AIDE,00,Below 50K,ECB - Manhattan Office
FINANCIAL INFO SVCS AGENCY,Internal,QTP Automation Script Developer,IT AUTOMATION AND MONITORING E,00,Above 50K,"Pyrl/HR, Test"
DEPT OF HEALTH/MENTAL HYGIENE,External,"Initiative Director, NY Cure Violence, Center for Health Equity",CITY RESEARCH SCIENTIST,03,Above 50K,Center for Health Equity
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Initiative Director, NY Cure Violence, Center for Health Equity",CITY RESEARCH SCIENTIST,03,Above 50K,Center for Health Equity
DEPARTMENT FOR THE AGING,Internal,Community Associate,COMMUNITY ASSOCIATE,00,Below 50K,Budget & Fiscal Oper
DEPARTMENT FOR THE AGING,External,Community Associate,COMMUNITY ASSOCIATE,00,Below 50K,Budget & Fiscal Oper
DEPT OF HEALTH/MENTAL HYGIENE,External,"Assistant Director, Bureau of Controller/Fiscal Management",ACCOUNTANT,02,Above 50K,Fiscal Management
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Assistant Director, Bureau of Controller/Fiscal Management",ACCOUNTANT,02,Above 50K,Fiscal Management
DEPARTMENT FOR THE AGING,Internal,NY Connects Program Manager,SUPERVISOR II (SOCIAL SERVICES,00,Above 50K,HealthCare Connections
DEPARTMENT OF SANITATION,External,Organic Outreach Coordinator,COMMUNITY COORDINATOR,00,Above 50K,Waste Prevention Reuse Recyc
DEPARTMENT OF SANITATION,Internal,Organic Outreach Coordinator,COMMUNITY COORDINATOR,00,Above 50K,Waste Prevention Reuse Recyc
HOUSING PRESERVATION & DVLPMNT,Internal,Case Managers - Division of Tenant,COMMUNITY ASSOCIATE,00,Below 50K,Initial Subsidies
HOUSING PRESERVATION & DVLPMNT,External,Case Managers - Division of Tenant,COMMUNITY ASSOCIATE,00,Below 50K,Initial Subsidies
DEPT OF HEALTH/MENTAL HYGIENE,External,"Application Examiner, Bureau of Vital Statististics",CLERICAL AIDE,00,Below 50K,Vital Statistics/Vital Recor
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Application Examiner, Bureau of Vital Statististics",CLERICAL AIDE,00,Below 50K,Vital Statistics/Vital Recor
DEPT. OF HOMELESS SERVICES,Internal,Field Specialist,FRAUD INVESTIGATOR,01,Below 50K,Adult Family Intake Center
DEPT OF HEALTH/MENTAL HYGIENE,External,"NYC Safe Coordinator,   Bureau of Mental Health/Office of the Chief Program Officer",SPECIAL CONSULTANT (MENTAL HEA,02,Above 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"NYC Safe Coordinator,   Bureau of Mental Health/Office of the Chief Program Officer",SPECIAL CONSULTANT (MENTAL HEA,02,Above 50K,Mental Health
DEPARTMENT OF BUSINESS SERV.,Internal,"EXECUTIVE DIRECTOR, GROWTH SERVICES",ADMINISTRATIVE BUSINESS PROMOT,M2,Above 50K,Business Growth Services
NYC POLICE PENSION FUND,Internal,Safeguards Associate,ASSISTANT RETIREMENT BENEFITS,00,Below 50K,Pension Section
NYC POLICE PENSION FUND,External,Safeguards Associate,ASSISTANT RETIREMENT BENEFITS,00,Below 50K,Pension Section
NYC POLICE PENSION FUND,Internal,Safeguards Associate,ASSISTANT RETIREMENT BENEFITS,00,Below 50K,Pension Section
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Budget Analyst, Bureau of Facilities Planning and Administrative Services---Finance Unit",ADMINISTRATIVE PROCUREMENT ANA,00,Below 50K,Health Support Services
DEPARTMENT OF BUILDINGS,Internal,Project Manager,ASSOCIATE STAFF ANALYST,00,Above 50K,Strategic Planning & Implement
ADMIN FOR CHILDREN'S SVCS,Internal,Community Assistant,COMMUNITY ASSISTANT,00,Below 50K,Manhattan Field Office (Dcp)
LAW DEPARTMENT,Internal,Assistant Corporation Counsel,ASSISTANT CORPORATION COUNSEL,00,Above 50K,Comm Lit
DEPT OF ENVIRONMENT PROTECTION,External,Electrical Engineer 1,ELECTRICAL ENGINEER,01,Above 50K,Electrical Engineering - IFA
DEPT OF ENVIRONMENT PROTECTION,Internal,Electrical Engineer 1,ELECTRICAL ENGINEER,01,Above 50K,Electrical Engineering - IFA
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Mental Health Attorney, Bureau of Mental Health/Office of General Counsel",AGENCY ATTORNEY,01,Above 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,External,"Mental Health Attorney, Bureau of Mental Health/Office of General Counsel",AGENCY ATTORNEY,01,Above 50K,Mental Health
FIRE DEPARTMENT,Internal,Supervisor of Stock Workers,SUPERVISOR OF STOCK WORKERS,02,Below 50K,Technical Services Division
LAW DEPARTMENT,External,Assistant Corporation Counsel,ASSISTANT CORPORATION COUNSEL,00,Above 50K,Comm Lit
DEPT OF ENVIRONMENT PROTECTION,External,Civil Engineer III,CIVIL ENGINEER,03,Above 50K,Capital Planning Development
DEPT OF ENVIRONMENT PROTECTION,Internal,Civil Engineer III,CIVIL ENGINEER,03,Above 50K,Capital Planning Development
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Contract Manager, Bureau of Facilities Planning and Administrative Services-Finance Unit",ADMINISTRATIVE PROCUREMENT ANA,00,Below 50K,Health Support Services
CIVILIAN COMPLAINT REVIEW BD,External,Deputy Executive Director For Investigations,DEPUTY EXECUTIVE DIRECTOR (CIV,M4,Above 50K,Civilian Complaint Review Bd
FIRE DEPARTMENT,External,Supervisor of Stock Workers,SUPERVISOR OF STOCK WORKERS,02,Below 50K,Technical Services Division
DEPT OF HEALTH/MENTAL HYGIENE,External,"Data Analyst, Bureau of Mental Health/Research and Evaluation",CITY RESEARCH SCIENTIST,02,Above 50K,Mental Health
DEPT OF HEALTH/MENTAL HYGIENE,Internal,"Data Analyst, Bureau of Mental Health/Research and Evaluation",CITY RESEARCH SCIENTIST,02,Above 50K,Mental Health
DEPARTMENT OF BUILDINGS,Internal,Case Manager,PROJECT MANAGER,00,Above 50K,Citywide
DEPT OF HEALTH/MENTAL HYGIENE,External,"Contract Manager, Bureau of Facilities Planning and Administrative Services-Finance Unit",ADMINISTRATIVE PROCUREMENT ANA,00,Below 50K,Health Support Services
DEPT OF ENVIRONMENT PROTECTION,External,CIVIL ENGINEER II,CIVIL ENGINEER,02,Above 50K,JOCS- IFA
DEPT OF ENVIRONMENT PROTECTION,Internal,CIVIL ENGINEER II,CIVIL ENGINEER,02,Above 50K,JOCS- IFA
